@relation clean_data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
0.492308,0.333333,0.486486,0.789784,0.433735,0.390909,0.479042,1,0.254545,0.306667,0.129032,6
0.384615,0.385965,0.459459,0.039293,0.481928,0.109091,0.365269,0.534523,0.527273,0.36,0.241935,6
0.661538,0.350877,0.540541,0.247544,0.493976,0.254545,0.260479,0.61986,0.490909,0.293333,0.33871,6
0.523077,0.263158,0.432432,0.310413,0.590361,0.409091,0.526946,0.65865,0.427273,0.24,0.306452,6
0.523077,0.263158,0.432432,0.310413,0.590361,0.409091,0.526946,0.65865,0.427273,0.24,0.306452,6
0.661538,0.350877,0.540541,0.247544,0.493976,0.254545,0.260479,0.61986,0.490909,0.293333,0.33871,6
0.369231,0.421053,0.216216,0.251473,0.433735,0.254545,0.377246,0.604344,0.418182,0.333333,0.258065,6
0.492308,0.333333,0.486486,0.789784,0.433735,0.390909,0.479042,1,0.254545,0.306667,0.129032,6
0.384615,0.385965,0.459459,0.039293,0.481928,0.109091,0.365269,0.534523,0.527273,0.36,0.241935,6
0.661538,0.245614,0.581081,0.035363,0.421687,0.236364,0.356287,0.519007,0.454545,0.306667,0.483871,6
0.661538,0.333333,0.554054,0.033399,0.289157,0.081818,0.158683,0.286268,0.245455,0.453333,0.645161,5
0.738462,0.263158,0.540541,0.141454,0.313253,0.136364,0.296407,0.588829,0.381818,0.413333,0.274194,5
0.630769,0.175439,0.5,0.023576,0.373494,0.127273,0.194611,0.379364,0.418182,0.546667,0.451613,5
0.430769,0.140351,0.540541,0.035363,0.421687,0.418182,0.398204,0.3173,0.745455,0.4,0.709677,7
0.692308,0.596491,0.837838,0.732809,0.373494,0.354545,0.48503,1,0.236364,0.6,0.274194,5
0.430769,0.157895,0.513514,0.035363,0.277108,0.236364,0.305389,0.332816,0.481818,0.44,0.548387,7
0.384615,0.701754,0.054054,0.019646,0.445783,0.254545,0.266467,0.441427,0.472727,0.186667,0.258065,6
0.553846,0.45614,0.567568,0.019646,0.289157,0.136364,0.482036,0.35609,0.363636,0.413333,0.532258,6
0.415385,0.403509,0.189189,0.27112,0.421687,0.290909,0.368263,0.650892,0.454545,0.373333,0.241935,5
0.4,0.403509,0.513514,0.090373,0.349398,0.154545,0.275449,0.3173,0.409091,0.173333,0.483871,7
0.461538,0.315789,0.567568,0.043222,0.481928,0.354545,0.335329,0.456943,0.681818,0.346667,0.403226,8
0.430769,0.333333,0.554054,0.027505,0.518072,0.127273,0.39521,0.61986,0.636364,0.333333,0.322581,6
0.492308,0.298246,0.432432,0.330059,0.445783,0.490909,0.703593,0.650892,0.481818,0.373333,0.387097,6
0.476923,0.280702,0.472973,0.015717,0.518072,0.3,0.407186,0.456943,0.663636,0.293333,0.322581,6
0.492308,0.350877,0.527027,0.318271,0.506024,0.272727,0.392216,0.69744,0.6,0.413333,0.403226,6
0.553846,0.333333,0.648649,0.019646,0.457831,0.136364,0.365269,0.332816,0.427273,0.36,0.580645,6
0.523077,0.421053,0.486486,0.05501,0.289157,0.318182,0.311377,0.270753,0.345455,0.653333,0.693548,7
0.723077,0.280702,0.527027,0.385069,0.421687,0.163636,0.39521,0.798293,0.436364,0.413333,0.322581,6
0.692308,0.105263,0.459459,0.019646,0.39759,0.045455,0.110778,0.487975,0.681818,0.24,0.354839,6
0.553846,0.298246,0.486486,0.056974,0.493976,0.263636,0.269461,0.379364,0.427273,0.293333,0.451613,6
0.369231,0.070175,0.459459,0.035363,0.433735,0.372727,0.320359,0.526765,0.636364,0.386667,0.16129,6
0.307692,0.333333,0.27027,0.563851,0.421687,0.181818,0.505988,0.705198,0.590909,0.2,0.354839,5
0.538462,0.350877,0.581081,0.043222,0.855422,0.172727,0.338323,0.262995,0.427273,0.266667,0.774194,5
0.415385,0.54386,0.310811,0.188605,0.506024,0.209091,0.416168,0.487975,0.472727,0.173333,0.322581,5
0.492308,0.438596,0.432432,0.023576,0.53012,0.327273,0.383234,0.270753,0.372727,0.08,0.516129,6
0.538462,0.280702,0.527027,0.681729,0.578313,0.390909,0.416168,0.992242,0.445455,0.186667,0.096774,5
0.538462,0.280702,0.527027,0.681729,0.578313,0.390909,0.416168,0.992242,0.445455,0.186667,0.096774,5
0.492308,0.403509,0.351351,0.267191,0.722892,0.236364,0.449102,0.643134,0.372727,0.32,0.290323,6
0.430769,0.280702,0.364865,0.031434,0.578313,0.281818,0.42515,0.487975,0.454545,0.453333,0.241935,6
0.446154,0.263158,0.351351,0.031434,0.614458,0.281818,0.431138,0.487975,0.472727,0.453333,0.241935,6
0.553846,0.175439,0.418919,0.031434,0.590361,0.327273,0.47006,0.464701,0.4,0.413333,0.322581,7
0.369231,0.649123,0.351351,0.149312,0.650602,0.554545,0.586826,0.534523,0.5,0.4,0.290323,4
0.369231,0.666667,0.337838,0.149312,0.686747,0.545455,0.58982,0.526765,0.481818,0.4,0.290323,5
0.492308,0.403509,0.351351,0.267191,0.722892,0.236364,0.449102,0.643134,0.372727,0.32,0.290323,6
0.476923,0.192982,0.472973,0.172888,0.698795,0.272727,0.419162,0.612102,0.581818,0.346667,0.290323,5
0.523077,0.192982,0.418919,0.039293,0.638554,0.263636,0.488024,0.35609,0.572727,0.293333,0.596774,6
0.430769,0.298246,0.391892,0.019646,0.710843,0.336364,0.341317,0.332816,0.563636,0.48,0.483871,7
0.369231,0.140351,0.445946,0.019646,0.578313,0.172727,0.215569,0.301784,0.545455,0.32,0.467742,7
0.4,0.175439,0.472973,0.015717,0.433735,0.336364,0.293413,0.309542,0.536364,0.173333,0.467742,6
0.476923,0.298246,0.472973,0.027505,0.361446,0.245455,0.541916,0.286268,0.372727,0.4,0.483871,6
0.523077,0.22807,0.459459,0.444008,0.409639,0.318182,0.607784,0.705198,0.336364,0.373333,0.258065,6
0.338462,0.192982,0.351351,0.463654,0.46988,0.436364,0.41018,0.782777,0.527273,0.186667,0.145161,6
0.430769,0.526316,0.202703,0.157171,0.421687,0.209091,0.203593,0.464701,0.354545,0.213333,0.354839,6
0.553846,0.210526,0.486486,0.023576,0.349398,0.381818,0.302395,0.425912,0.581818,0.16,0.306452,6
0.461538,0.245614,0.324324,0.168959,1,0.254545,0.338323,0.61986,0.281818,0.32,0.096774,6
0.338462,0.192982,0.351351,0.463654,0.46988,0.436364,0.41018,0.782777,0.527273,0.186667,0.145161,6
0.492308,0.684211,0.094595,0.019646,0.313253,0.136364,0.422156,0.301784,0.272727,0.16,0.403226,5
0.430769,0.526316,0.202703,0.157171,0.421687,0.209091,0.203593,0.464701,0.354545,0.213333,0.354839,6
0.523077,0.280702,0.364865,0.031434,0.349398,0.263636,0.335329,0.43367,0.390909,0.32,0.370968,6
0.369231,0.473684,0.040541,0.023576,0.662651,0.245455,0.329341,0.487975,0.454545,0.426667,0.177419,5
0.4,0.315789,0.324324,0.227898,0.373494,0.227273,0.341317,0.247479,0.454545,0.36,0.741935,7
0.446154,0.298246,0.175676,0.023576,0.385542,0.718182,0.491018,0.379364,0.381818,0.266667,0.290323,5
0.446154,0.263158,0.418919,0.058939,0.445783,0.254545,0.257485,0.425912,0.554545,0.56,0.435484,8
0.553846,0.280702,0.391892,0.373281,0.493976,0.172727,0.284431,0.705198,0.372727,0.173333,0.241935,5
0.369231,0.333333,0.581081,0.282908,0.566265,0.418182,0.700599,0.65865,0.345455,0.386667,0.16129,6
0.461538,0.385965,0.310811,0.157171,0.626506,0.440909,0.684132,0.674166,0.545455,0.506667,0.241935,5
0.338462,0.333333,0.378378,0.165029,0.650602,0.263636,0.571856,0.720714,0.881818,0.653333,0.322581,5
0.738462,0.263158,0.621622,0.015717,0.542169,0.063636,0.185629,0.542281,0.209091,0.36,0.177419,6
0.446154,0.263158,0.418919,0.058939,0.445783,0.254545,0.257485,0.425912,0.554545,0.56,0.435484,8
0.553846,0.280702,0.391892,0.373281,0.493976,0.172727,0.284431,0.705198,0.372727,0.173333,0.241935,5
0.507692,0.175439,0.486486,0.031434,0.409639,0.263636,0.230539,0.208689,0.490909,0.2,0.758065,7
0.492308,0.421053,0.459459,0.027505,0.39759,0.163636,0.176647,0.3173,0.536364,0.573333,0.645161,7
0.553846,0.175439,0.405405,0.3222,0.662651,0.218182,0.278443,0.69744,0.2,0.453333,0.209677,5
0.446154,0.807018,0.378378,0.188605,0.614458,0.172727,0.284431,0.604344,0.5,0.2,0.16129,5
0.461538,0.245614,0.418919,0.031434,0.53012,0.290909,0.311377,0.449185,0.609091,0.733333,0.419355,6
0.507692,0.210526,0.459459,0.605108,0.493976,0.445455,0.467066,0.883631,0.445455,0.506667,0.193548,6
0.507692,0.45614,0.27027,0.21611,0.650602,0.409091,0.461078,0.581071,0.409091,0.266667,0.322581,5
0.538462,0.245614,0.405405,0.298625,0.457831,0.363636,0.58982,0.73623,0.554545,0.32,0.241935,6
0.507692,0.614035,0.824324,0.440079,0.433735,0.472727,0.434132,0.798293,0.354545,0.306667,0.112903,5
0.507692,0.631579,0.837838,0.440079,0.421687,0.454545,0.42515,0.806051,0.363636,0.32,0.112903,6
0.523077,0.54386,0.851351,0.408644,0.421687,0.481818,0.437126,0.798293,0.336364,0.293333,0.112903,6
0.461538,0.298246,0.418919,0.499018,0.493976,0.609091,0.57485,0.782777,0.454545,0.346667,0.274194,6
0.507692,0.614035,0.824324,0.440079,0.433735,0.472727,0.434132,0.798293,0.354545,0.306667,0.112903,5
0.507692,0.631579,0.837838,0.440079,0.421687,0.454545,0.42515,0.806051,0.363636,0.32,0.112903,6
0.523077,0.54386,0.851351,0.408644,0.421687,0.481818,0.437126,0.798293,0.336364,0.293333,0.112903,6
0.353846,0.333333,0.581081,0.27112,0.481928,0.572727,0.697605,0.666408,0.363636,0.333333,0.16129,5
0.476923,0.280702,0.445946,0.043222,0.313253,0.409091,0.377246,0.224205,0.490909,0.24,0.741935,7
0.476923,0.22807,0.445946,0.047151,0.301205,0.418182,0.377246,0.216447,0.481818,0.253333,0.741935,7
0.569231,0.157895,0.432432,0.043222,0.373494,0.445455,0.413174,0.348332,0.445455,0.293333,0.564516,7
0.507692,0.315789,0.391892,0.463654,0.421687,0.545455,0.688623,0.759503,0.290909,0.266667,0.193548,6
0.338462,0.45614,0.891892,0.601179,0.445783,0.218182,0.461078,0.837083,0.381818,0.373333,0.129032,6
0.738462,0.324561,0.486486,0.023576,0.301205,0.118182,0.209581,0.325058,0.209091,0.186667,0.548387,7
0.923077,0.491228,0.621622,0.388998,0.349398,0.018182,0.218563,0.65865,0.154545,0.106667,0.33871,4
0.338462,0.45614,0.891892,0.601179,0.445783,0.218182,0.461078,0.837083,0.381818,0.373333,0.129032,6
0.553846,0.298246,0.5,0.506876,0.614458,0.454545,0.54491,0.806051,0.254545,0.293333,0.177419,5
0.507692,0.070175,0.432432,0.353635,0.542169,0.563636,0.45509,0.705198,0.618182,0.253333,0.225806,5
0.338462,0.22807,0.324324,0.451866,0.493976,0.481818,0.461078,0.767261,0.563636,0.226667,0.225806,5
0.569231,0.394737,0.540541,0.719057,0.60241,0.381818,0.479042,1,0.245455,0.32,0.16129,5
0.553846,0.298246,0.5,0.506876,0.614458,0.454545,0.54491,0.806051,0.254545,0.293333,0.177419,5
0.538462,0.087719,0.432432,0.54224,0.506024,0.290909,0.296407,0.798293,0.436364,0.173333,0.193548,6
0.507692,0.070175,0.432432,0.353635,0.542169,0.563636,0.45509,0.705198,0.618182,0.253333,0.225806,5
0.507692,0.263158,0.472973,0.624754,0.373494,0.527273,0.482036,0.92242,0.4,0.493333,0.177419,6
0.507692,0.263158,0.472973,0.624754,0.373494,0.527273,0.482036,0.92242,0.4,0.493333,0.177419,6
0.476923,0.438596,0.378378,0.027505,0.506024,0.318182,0.52994,0.43367,0.5,0.506667,0.370968,5
0.415385,0.157895,0.72973,0.310413,0.879518,0.563636,0.458084,0.681924,0.154545,0.226667,0.129032,6
0.523077,0.333333,0.621622,0.713163,0.518072,0.390909,0.733533,1,0.290909,0.4,0.145161,5
0.523077,0.403509,0.675676,0.499018,0.566265,0.6,0.553892,0.860357,0.263636,0.333333,0.193548,5
0.446154,0.578947,0.459459,0.337917,0.481928,0.245455,0.419162,0.751746,0.454545,0.386667,0.177419,5
0.446154,0.578947,0.459459,0.337917,0.481928,0.245455,0.419162,0.751746,0.454545,0.386667,0.177419,5
0.261538,0.710526,0,0.035363,0.674699,0.054545,0.278443,0.534523,0.827273,0.24,0.274194,4
0.338462,0.403509,0.324324,0.10609,0.385542,0.209091,0.398204,0.332816,0.536364,0.293333,0.532258,6
0.492308,0.105263,0.540541,0.043222,0.313253,0.127273,0.224551,0.309542,0.427273,0.266667,0.612903,6
0.523077,0.403509,0.675676,0.499018,0.566265,0.6,0.553892,0.860357,0.263636,0.333333,0.193548,5
0.538462,0.421053,0.648649,0.499018,0.614458,0.5,0.556886,0.860357,0.290909,0.373333,0.193548,5
0.323077,0.491228,0.054054,0.200393,0.445783,0.172727,0.230539,0.487975,0.454545,0.386667,0.354839,5
0.615385,0.280702,0.432432,0.455796,0.542169,0.363636,0.383234,0.875873,0.263636,0.426667,0.129032,5
0.553846,0.140351,0.418919,0.24558,0.60241,0.263636,0.362275,0.627618,0.518182,0.16,0.274194,5
0.476923,0.192982,0.378378,0.172888,0.590361,0.109091,0.407186,0.627618,0.518182,0.186667,0.177419,6
0.4,0.087719,0.635135,0.039293,1,0.345455,0.443114,0.441427,0.445455,0.186667,0.290323,6
0.446154,0.192982,0.486486,0.019646,0.204819,0.554545,0.398204,0.3173,0.5,0.346667,0.483871,6
0.553846,0.54386,0.310811,0.251473,0.289157,0.245455,0.347305,0.534523,0.381818,0.266667,0.403226,5
0.415385,0.280702,0.432432,0.275049,0.349398,0.418182,0.577844,0.674166,0.663636,0.426667,0.274194,7
0.353846,0.385965,0.756757,0.086444,0.421687,0.409091,0.505988,0.410396,0.527273,0.466667,0.467742,7
0.353846,0.385965,0.756757,0.082515,0.445783,0.4,0.520958,0.410396,0.536364,0.466667,0.467742,6
0.292308,0.315789,0.337838,0.385069,0.13253,0.045455,0.140719,0.534523,0.609091,0.2,0.419355,5
0.415385,0.280702,0.432432,0.275049,0.349398,0.418182,0.577844,0.674166,0.663636,0.426667,0.274194,7
0.415385,0.605263,0.540541,0.491159,0.349398,0.518182,0.691617,0.837083,0.463636,0.466667,0.16129,5
0.430769,0.280702,0.364865,0.59725,0.313253,0.4,0.532934,0.860357,0.472727,0.386667,0.193548,5
0.461538,0.333333,0.297297,0.294695,0.301205,0.481818,0.577844,0.69744,0.427273,0.4,0.145161,5
0.446154,0.333333,0.418919,0.59332,0.325301,0.381818,0.505988,0.837083,0.490909,0.453333,0.258065,5
0.676923,0.263158,0.540541,0.023576,0.216867,0.309091,0.332335,0.379364,0.363636,0.213333,0.435484,6
0.507692,0.508772,0.905405,0.388998,0.433735,0.427273,0.434132,0.806051,0.4,0.293333,0.112903,5
0.461538,0.192982,0.486486,0.051081,0.313253,0.254545,0.257485,0.35609,0.390909,0.426667,0.451613,7
0.661538,0.350877,0.527027,0.051081,0.240964,0.145455,0.206587,0.402638,0.463636,0.4,0.612903,6
0.384615,0.403509,0.459459,0.062868,0.433735,0.163636,0.200599,0.43367,0.527273,0.28,0.354839,5
0.507692,0.508772,0.905405,0.388998,0.433735,0.427273,0.434132,0.806051,0.4,0.293333,0.112903,5
0.630769,0.22807,0.540541,0.023576,0.361446,0.327273,0.290419,0.379364,0.445455,0.426667,0.451613,6
0.723077,0.22807,0.554054,0.145383,0.325301,0.2,0.266467,0.588829,0.418182,0.413333,0.274194,6
0.661538,0.210526,0.540541,0.05501,0.337349,0.154545,0.230539,0.387122,0.363636,0.426667,0.516129,6
0.384615,0.307018,0.5,0.019646,0.373494,0.318182,0.311377,0.262995,0.254545,0.226667,0.467742,6
0.276923,0.140351,0.364865,0.031434,0.421687,0.463636,0.473054,0.363848,0.509091,0.2,0.33871,6
0.4,0.903509,0.189189,0.180747,0.590361,0.118182,0.260479,0.61986,0.6,0.186667,0.16129,4
0.384615,0.45614,0.445946,0.157171,0.301205,0.154545,0.209581,0.35609,0.6,0.48,0.645161,7
0.476923,0.298246,0.405405,0.137525,0.542169,0.190909,0.317365,0.534523,0.245455,0.213333,0.225806,6
0.630769,0.245614,0.513514,0.290766,0.409639,0.4,0.42515,0.487975,0.363636,0.133333,0.564516,7
0.584615,0.175439,0.621622,0.37721,0.554217,0.509091,0.374251,0.751746,0.381818,0.28,0.306452,6
0.476923,0.298246,0.405405,0.137525,0.542169,0.190909,0.317365,0.534523,0.245455,0.213333,0.225806,6
0.523077,0.175439,0.554054,0.023576,0.46988,0.354545,0.260479,0.371606,0.381818,0.306667,0.387097,5
0.676923,0.263158,0.540541,0.27112,0.481928,0.090909,0.197605,0.73623,0.309091,0.826667,0.274194,6
0.553846,0.280702,0.567568,0.526523,0.686747,0.418182,0.562874,0.837083,0.154545,0.266667,0.145161,6
0.553846,0.280702,0.567568,0.526523,0.686747,0.418182,0.562874,0.837083,0.154545,0.266667,0.145161,6
0.353846,0.421053,0.324324,0.035363,0.325301,0.327273,0.341317,0.208689,0.518182,0.266667,0.709677,7
0.215385,0.631579,0.054054,0.031434,0.325301,0.372727,0.326347,0.177657,0.581818,0.146667,0.66129,8
0.215385,0.631579,0.054054,0.031434,0.325301,0.372727,0.326347,0.177657,0.581818,0.146667,0.66129,8
0.353846,0.421053,0.324324,0.035363,0.325301,0.327273,0.341317,0.208689,0.518182,0.266667,0.709677,7
0.4,0.245614,0.756757,0.546169,0.554217,0.227273,0.446108,0.844841,0.236364,0.24,0.177419,5
0.384615,0.491228,0.405405,0.165029,0.481928,0.109091,0.224551,0.472459,0.509091,0.226667,0.419355,5
0.553846,0.280702,0.567568,0.526523,0.686747,0.418182,0.562874,0.837083,0.154545,0.266667,0.145161,6
0.446154,0.280702,0.472973,0.491159,0.493976,0.563636,0.583832,0.767261,0.390909,0.373333,0.241935,5
0.492308,0.263158,0.486486,0.48723,0.506024,0.636364,0.5,0.782777,0.4,0.36,0.290323,5
0.707692,0.333333,0.621622,0.318271,0.46988,0.336364,0.55988,0.798293,0.381818,0.493333,0.258065,6
