@relation clean_data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-F-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute 'fixed acidity' {'\'(-inf-5.85]\'','\'(5.85-6.175]\'','\'(6.175-6.35]\'','\'(6.35-6.55]\'','\'(6.55-6.75]\'','\'(6.75-6.95]\'','\'(6.95-7.15]\'','\'(7.15-7.45]\'','\'(7.45-7.95]\'','\'(7.95-inf)\''}
@attribute 'volatile acidity' {'\'(-inf-0.1675]\'','\'(0.1675-0.195]\'','\'(0.195-0.2175]\'','\'(0.2175-0.2375]\'','\'(0.2375-0.2575]\'','\'(0.2575-0.2775]\'','\'(0.2775-0.2975]\'','\'(0.2975-0.3275]\'','\'(0.3275-0.3775]\'','\'(0.3775-inf)\''}
@attribute 'citric acid' {'\'(-inf-0.215]\'','\'(0.215-0.255]\'','\'(0.255-0.275]\'','\'(0.275-0.295]\'','\'(0.295-0.315]\'','\'(0.315-0.335]\'','\'(0.335-0.365]\'','\'(0.365-0.405]\'','\'(0.405-0.485]\'','\'(0.485-inf)\''}
@attribute 'residual sugar' {'\'(-inf-1.225]\'','\'(1.225-1.575]\'','\'(1.575-2.025]\'','\'(2.025-3.55]\'','\'(3.55-5.325]\'','\'(5.325-7.15]\'','\'(7.15-8.725]\'','\'(8.725-11.35]\'','\'(11.35-14.15]\'','\'(14.15-inf)\''}
@attribute chlorides {'\'(-inf-0.0295]\'','\'(0.0295-0.0335]\'','\'(0.0335-0.0365]\'','\'(0.0365-0.0395]\'','\'(0.0395-0.0425]\'','\'(0.0425-0.0455]\'','\'(0.0455-0.0485]\'','\'(0.0485-0.0515]\'','\'(0.0515-0.0565]\'','\'(0.0565-inf)\''}
@attribute 'free sulfur dioxide' {'\'(-inf-15.25]\'','\'(15.25-21.5]\'','\'(21.5-25.5]\'','\'(25.5-29.5]\'','\'(29.5-33.5]\'','\'(33.5-37.5]\'','\'(37.5-42.25]\'','\'(42.25-48.75]\'','\'(48.75-56.5]\'','\'(56.5-inf)\''}
@attribute 'total sulfur dioxide' {'\'(-inf-86.5]\'','\'(86.5-101.5]\'','\'(101.5-113.5]\'','\'(113.5-123.5]\'','\'(123.5-133.5]\'','\'(133.5-146.5]\'','\'(146.5-158.5]\'','\'(158.5-173.5]\'','\'(173.5-193.5]\'','\'(193.5-inf)\''}
@attribute density {'\'(-inf-0.990305]\'','\'(0.990305-0.991265]\'','\'(0.991265-0.992005]\'','\'(0.992005-0.99285]\'','\'(0.99285-0.99371]\'','\'(0.99371-0.994705]\'','\'(0.994705-0.995605]\'','\'(0.995605-0.996805]\'','\'(0.996805-0.998175]\'','\'(0.998175-inf)\''}
@attribute pH {'\'(-inf-3.005]\'','\'(3.005-3.065]\'','\'(3.065-3.115]\'','\'(3.115-3.145]\'','\'(3.145-3.175]\'','\'(3.175-3.215]\'','\'(3.215-3.255]\'','\'(3.255-3.305]\'','\'(3.305-3.375]\'','\'(3.375-inf)\''}
@attribute sulphates {'\'(-inf-0.365]\'','\'(0.365-0.395]\'','\'(0.395-0.425]\'','\'(0.425-0.455]\'','\'(0.455-0.475]\'','\'(0.475-0.505]\'','\'(0.505-0.535]\'','\'(0.535-0.575]\'','\'(0.575-0.635]\'','\'(0.635-inf)\''}
@attribute alcohol {'\'(-inf-9.05]\'','\'(9.05-9.35]\'','\'(9.35-9.575]\'','\'(9.575-9.95]\'','\'(9.95-10.35]\'','\'(10.35-10.75]\'','\'(10.75-11.15]\'','\'(11.15-11.675]\'','\'(11.675-12.366667]\'','\'(12.366667-inf)\''}
@attribute quality {3,4,5,6,7,8,9}

@data
'\'(6.95-7.15]\'','\'(0.2575-0.2775]\'','\'(0.335-0.365]\'','\'(14.15-inf)\'','\'(0.0425-0.0455]\'','\'(42.25-48.75]\'','\'(158.5-173.5]\'','\'(0.998175-inf)\'','\'(-inf-3.005]\'','\'(0.425-0.455]\'','\'(-inf-9.05]\'',6
'\'(6.175-6.35]\'','\'(0.2975-0.3275]\'','\'(0.335-0.365]\'','\'(1.575-2.025]\'','\'(0.0485-0.0515]\'','\'(-inf-15.25]\'','\'(123.5-133.5]\'','\'(0.99371-0.994705]\'','\'(3.255-3.305]\'','\'(0.475-0.505]\'','\'(9.35-9.575]\'',6
'\'(7.95-inf)\'','\'(0.2775-0.2975]\'','\'(0.365-0.405]\'','\'(5.325-7.15]\'','\'(0.0485-0.0515]\'','\'(29.5-33.5]\'','\'(86.5-101.5]\'','\'(0.994705-0.995605]\'','\'(3.255-3.305]\'','\'(0.425-0.455]\'','\'(9.95-10.35]\'',6
'\'(7.15-7.45]\'','\'(0.2175-0.2375]\'','\'(0.315-0.335]\'','\'(7.15-8.725]\'','\'(0.0565-inf)\'','\'(42.25-48.75]\'','\'(173.5-193.5]\'','\'(0.994705-0.995605]\'','\'(3.175-3.215]\'','\'(0.395-0.425]\'','\'(9.575-9.95]\'',6
'\'(7.15-7.45]\'','\'(0.2175-0.2375]\'','\'(0.315-0.335]\'','\'(7.15-8.725]\'','\'(0.0565-inf)\'','\'(42.25-48.75]\'','\'(173.5-193.5]\'','\'(0.994705-0.995605]\'','\'(3.175-3.215]\'','\'(0.395-0.425]\'','\'(9.575-9.95]\'',6
'\'(7.95-inf)\'','\'(0.2775-0.2975]\'','\'(0.365-0.405]\'','\'(5.325-7.15]\'','\'(0.0485-0.0515]\'','\'(29.5-33.5]\'','\'(86.5-101.5]\'','\'(0.994705-0.995605]\'','\'(3.255-3.305]\'','\'(0.425-0.455]\'','\'(9.95-10.35]\'',6
'\'(6.175-6.35]\'','\'(0.2975-0.3275]\'','\'(-inf-0.215]\'','\'(5.325-7.15]\'','\'(0.0425-0.0455]\'','\'(29.5-33.5]\'','\'(133.5-146.5]\'','\'(0.994705-0.995605]\'','\'(3.175-3.215]\'','\'(0.455-0.475]\'','\'(9.575-9.95]\'',6
'\'(6.95-7.15]\'','\'(0.2575-0.2775]\'','\'(0.335-0.365]\'','\'(14.15-inf)\'','\'(0.0425-0.0455]\'','\'(42.25-48.75]\'','\'(158.5-173.5]\'','\'(0.998175-inf)\'','\'(-inf-3.005]\'','\'(0.425-0.455]\'','\'(-inf-9.05]\'',6
'\'(6.175-6.35]\'','\'(0.2975-0.3275]\'','\'(0.335-0.365]\'','\'(1.575-2.025]\'','\'(0.0485-0.0515]\'','\'(-inf-15.25]\'','\'(123.5-133.5]\'','\'(0.99371-0.994705]\'','\'(3.255-3.305]\'','\'(0.475-0.505]\'','\'(9.35-9.575]\'',6
'\'(7.95-inf)\'','\'(0.2175-0.2375]\'','\'(0.405-0.485]\'','\'(1.225-1.575]\'','\'(0.0425-0.0455]\'','\'(25.5-29.5]\'','\'(123.5-133.5]\'','\'(0.99371-0.994705]\'','\'(3.215-3.255]\'','\'(0.425-0.455]\'','\'(10.75-11.15]\'',6
'\'(7.95-inf)\'','\'(0.2575-0.2775]\'','\'(0.405-0.485]\'','\'(1.225-1.575]\'','\'(0.0295-0.0335]\'','\'(-inf-15.25]\'','\'(-inf-86.5]\'','\'(0.990305-0.991265]\'','\'(-inf-3.005]\'','\'(0.535-0.575]\'','\'(11.675-12.366667]\'',5
