@relation 4_bins_equal_width_binary

@attribute 'fixed acidity=\'(-inf-0.25]\'' {0,1}
@attribute 'fixed acidity=\'(0.25-0.5]\'' {0,1}
@attribute 'fixed acidity=\'(0.5-0.75]\'' {0,1}
@attribute 'fixed acidity=\'(0.75-inf)\'' {0,1}
@attribute 'volatile acidity=\'(-inf-0.25]\'' {0,1}
@attribute 'volatile acidity=\'(0.25-0.5]\'' {0,1}
@attribute 'volatile acidity=\'(0.5-0.75]\'' {0,1}
@attribute 'volatile acidity=\'(0.75-inf)\'' {0,1}
@attribute 'citric acid=\'(-inf-0.25]\'' {0,1}
@attribute 'citric acid=\'(0.25-0.5]\'' {0,1}
@attribute 'citric acid=\'(0.5-0.75]\'' {0,1}
@attribute 'citric acid=\'(0.75-inf)\'' {0,1}
@attribute 'residual sugar=\'(-inf-0.25]\'' {0,1}
@attribute 'residual sugar=\'(0.25-0.5]\'' {0,1}
@attribute 'residual sugar=\'(0.5-0.75]\'' {0,1}
@attribute 'residual sugar=\'(0.75-inf)\'' {0,1}
@attribute 'chlorides=\'(-inf-0.25]\'' {0,1}
@attribute 'chlorides=\'(0.25-0.5]\'' {0,1}
@attribute 'chlorides=\'(0.5-0.75]\'' {0,1}
@attribute 'chlorides=\'(0.75-inf)\'' {0,1}
@attribute 'free sulfur dioxide=\'(-inf-0.25]\'' {0,1}
@attribute 'free sulfur dioxide=\'(0.25-0.5]\'' {0,1}
@attribute 'free sulfur dioxide=\'(0.5-0.75]\'' {0,1}
@attribute 'free sulfur dioxide=\'(0.75-inf)\'' {0,1}
@attribute 'total sulfur dioxide=\'(-inf-0.25]\'' {0,1}
@attribute 'total sulfur dioxide=\'(0.25-0.5]\'' {0,1}
@attribute 'total sulfur dioxide=\'(0.5-0.75]\'' {0,1}
@attribute 'total sulfur dioxide=\'(0.75-inf)\'' {0,1}
@attribute 'density=\'(-inf-0.25]\'' {0,1}
@attribute 'density=\'(0.25-0.5]\'' {0,1}
@attribute 'density=\'(0.5-0.75]\'' {0,1}
@attribute 'density=\'(0.75-inf)\'' {0,1}
@attribute 'pH=\'(-inf-0.25]\'' {0,1}
@attribute 'pH=\'(0.25-0.5]\'' {0,1}
@attribute 'pH=\'(0.5-0.75]\'' {0,1}
@attribute 'pH=\'(0.75-inf)\'' {0,1}
@attribute 'sulphates=\'(-inf-0.25]\'' {0,1}
@attribute 'sulphates=\'(0.25-0.5]\'' {0,1}
@attribute 'sulphates=\'(0.5-0.75]\'' {0,1}
@attribute 'sulphates=\'(0.75-inf)\'' {0,1}
@attribute 'alcohol=\'(-inf-0.25]\'' {0,1}
@attribute 'alcohol=\'(0.25-0.5]\'' {0,1}
@attribute 'alcohol=\'(0.5-0.75]\'' {0,1}
@attribute 'alcohol=\'(0.75-inf)\'' {0,1}
@attribute 'quality=\'(-inf-4.5]\'' {0,1}
@attribute 'quality=\'(4.5-6]\'' {0,1}
@attribute 'quality=\'(6-7.5]\'' {0,1}
@attribute 'quality=\'(7.5-inf)\'' {0,1}

@data
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
