@relation 'clean_data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6,8,11-12'

@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute density numeric
@attribute alcohol numeric
@attribute quality {3,4,5,6,7,8,9}

@data
0.333333,0.486486,0.433735,0.390909,1,0.129032,6
0.385965,0.459459,0.481928,0.109091,0.534523,0.241935,6
0.350877,0.540541,0.493976,0.254545,0.61986,0.33871,6
0.263158,0.432432,0.590361,0.409091,0.65865,0.306452,6
0.263158,0.432432,0.590361,0.409091,0.65865,0.306452,6
0.350877,0.540541,0.493976,0.254545,0.61986,0.33871,6
0.421053,0.216216,0.433735,0.254545,0.604344,0.258065,6
0.333333,0.486486,0.433735,0.390909,1,0.129032,6
0.385965,0.459459,0.481928,0.109091,0.534523,0.241935,6
0.245614,0.581081,0.421687,0.236364,0.519007,0.483871,6
0.333333,0.554054,0.289157,0.081818,0.286268,0.645161,5
0.263158,0.540541,0.313253,0.136364,0.588829,0.274194,5
0.175439,0.5,0.373494,0.127273,0.379364,0.451613,5
0.140351,0.540541,0.421687,0.418182,0.3173,0.709677,7
0.596491,0.837838,0.373494,0.354545,1,0.274194,5
0.157895,0.513514,0.277108,0.236364,0.332816,0.548387,7
0.701754,0.054054,0.445783,0.254545,0.441427,0.258065,6
0.45614,0.567568,0.289157,0.136364,0.35609,0.532258,6
0.403509,0.189189,0.421687,0.290909,0.650892,0.241935,5
0.403509,0.513514,0.349398,0.154545,0.3173,0.483871,7
0.315789,0.567568,0.481928,0.354545,0.456943,0.403226,8
0.333333,0.554054,0.518072,0.127273,0.61986,0.322581,6
0.298246,0.432432,0.445783,0.490909,0.650892,0.387097,6
0.280702,0.472973,0.518072,0.3,0.456943,0.322581,6
0.350877,0.527027,0.506024,0.272727,0.69744,0.403226,6
0.333333,0.648649,0.457831,0.136364,0.332816,0.580645,6
0.421053,0.486486,0.289157,0.318182,0.270753,0.693548,7
0.280702,0.527027,0.421687,0.163636,0.798293,0.322581,6
0.105263,0.459459,0.39759,0.045455,0.487975,0.354839,6
0.298246,0.486486,0.493976,0.263636,0.379364,0.451613,6
0.070175,0.459459,0.433735,0.372727,0.526765,0.16129,6
0.333333,0.27027,0.421687,0.181818,0.705198,0.354839,5
0.350877,0.581081,0.855422,0.172727,0.262995,0.774194,5
0.54386,0.310811,0.506024,0.209091,0.487975,0.322581,5
0.438596,0.432432,0.53012,0.327273,0.270753,0.516129,6
0.280702,0.527027,0.578313,0.390909,0.992242,0.096774,5
0.280702,0.527027,0.578313,0.390909,0.992242,0.096774,5
0.403509,0.351351,0.722892,0.236364,0.643134,0.290323,6
0.280702,0.364865,0.578313,0.281818,0.487975,0.241935,6
0.263158,0.351351,0.614458,0.281818,0.487975,0.241935,6
0.175439,0.418919,0.590361,0.327273,0.464701,0.322581,7
0.649123,0.351351,0.650602,0.554545,0.534523,0.290323,4
0.666667,0.337838,0.686747,0.545455,0.526765,0.290323,5
0.403509,0.351351,0.722892,0.236364,0.643134,0.290323,6
0.192982,0.472973,0.698795,0.272727,0.612102,0.290323,5
0.192982,0.418919,0.638554,0.263636,0.35609,0.596774,6
0.298246,0.391892,0.710843,0.336364,0.332816,0.483871,7
0.140351,0.445946,0.578313,0.172727,0.301784,0.467742,7
0.175439,0.472973,0.433735,0.336364,0.309542,0.467742,6
0.298246,0.472973,0.361446,0.245455,0.286268,0.483871,6
0.22807,0.459459,0.409639,0.318182,0.705198,0.258065,6
0.192982,0.351351,0.46988,0.436364,0.782777,0.145161,6
0.526316,0.202703,0.421687,0.209091,0.464701,0.354839,6
0.210526,0.486486,0.349398,0.381818,0.425912,0.306452,6
0.245614,0.324324,1,0.254545,0.61986,0.096774,6
0.192982,0.351351,0.46988,0.436364,0.782777,0.145161,6
0.684211,0.094595,0.313253,0.136364,0.301784,0.403226,5
0.526316,0.202703,0.421687,0.209091,0.464701,0.354839,6
0.280702,0.364865,0.349398,0.263636,0.43367,0.370968,6
0.473684,0.040541,0.662651,0.245455,0.487975,0.177419,5
0.315789,0.324324,0.373494,0.227273,0.247479,0.741935,7
0.298246,0.175676,0.385542,0.718182,0.379364,0.290323,5
0.263158,0.418919,0.445783,0.254545,0.425912,0.435484,8
0.280702,0.391892,0.493976,0.172727,0.705198,0.241935,5
0.333333,0.581081,0.566265,0.418182,0.65865,0.16129,6
0.385965,0.310811,0.626506,0.440909,0.674166,0.241935,5
0.333333,0.378378,0.650602,0.263636,0.720714,0.322581,5
0.263158,0.621622,0.542169,0.063636,0.542281,0.177419,6
0.263158,0.418919,0.445783,0.254545,0.425912,0.435484,8
0.280702,0.391892,0.493976,0.172727,0.705198,0.241935,5
0.175439,0.486486,0.409639,0.263636,0.208689,0.758065,7
0.421053,0.459459,0.39759,0.163636,0.3173,0.645161,7
0.175439,0.405405,0.662651,0.218182,0.69744,0.209677,5
0.807018,0.378378,0.614458,0.172727,0.604344,0.16129,5
0.245614,0.418919,0.53012,0.290909,0.449185,0.419355,6
0.210526,0.459459,0.493976,0.445455,0.883631,0.193548,6
0.45614,0.27027,0.650602,0.409091,0.581071,0.322581,5
0.245614,0.405405,0.457831,0.363636,0.73623,0.241935,6
0.614035,0.824324,0.433735,0.472727,0.798293,0.112903,5
0.631579,0.837838,0.421687,0.454545,0.806051,0.112903,6
0.54386,0.851351,0.421687,0.481818,0.798293,0.112903,6
0.298246,0.418919,0.493976,0.609091,0.782777,0.274194,6
0.614035,0.824324,0.433735,0.472727,0.798293,0.112903,5
0.631579,0.837838,0.421687,0.454545,0.806051,0.112903,6
0.54386,0.851351,0.421687,0.481818,0.798293,0.112903,6
0.333333,0.581081,0.481928,0.572727,0.666408,0.16129,5
0.280702,0.445946,0.313253,0.409091,0.224205,0.741935,7
0.22807,0.445946,0.301205,0.418182,0.216447,0.741935,7
0.157895,0.432432,0.373494,0.445455,0.348332,0.564516,7
0.315789,0.391892,0.421687,0.545455,0.759503,0.193548,6
0.45614,0.891892,0.445783,0.218182,0.837083,0.129032,6
0.324561,0.486486,0.301205,0.118182,0.325058,0.548387,7
0.491228,0.621622,0.349398,0.018182,0.65865,0.33871,4
