@relation winequality-white-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.NominalToBinary-N-Rfirst-last

@attribute 'fixed acidity=\'(-inf-5.966667]\'' {f,t}
@attribute 'fixed acidity=\'(5.966667-8.133333]\'' {f,t}
@attribute 'fixed acidity=\'(8.133333-inf)\'' {f,t}
@attribute 'volatile acidity=\'(-inf-0.27]\'' {f,t}
@attribute 'volatile acidity=\'(0.27-0.46]\'' {f,t}
@attribute 'volatile acidity=\'(0.46-inf)\'' {f,t}
@attribute 'citric acid=\'(-inf-0.246667]\'' {f,t}
@attribute 'citric acid=\'(0.246667-0.493333]\'' {f,t}
@attribute 'citric acid=\'(0.493333-inf)\'' {f,t}
@attribute 'residual sugar=\'(-inf-9.083333]\'' {f,t}
@attribute 'residual sugar=\'(9.083333-17.566667]\'' {f,t}
@attribute 'residual sugar=\'(17.566667-inf)\'' {f,t}
@attribute 'chlorides=\'(-inf-0.036667]\'' {f,t}
@attribute 'chlorides=\'(0.036667-0.064333]\'' {f,t}
@attribute 'chlorides=\'(0.064333-inf)\'' {f,t}
@attribute 'free sulfur dioxide=\'(-inf-38.666667]\'' {f,t}
@attribute 'free sulfur dioxide=\'(38.666667-75.333333]\'' {f,t}
@attribute 'free sulfur dioxide=\'(75.333333-inf)\'' {f,t}
@attribute 'total sulfur dioxide=\'(-inf-121.333333]\'' {f,t}
@attribute 'total sulfur dioxide=\'(121.333333-232.666667]\'' {f,t}
@attribute 'total sulfur dioxide=\'(232.666667-inf)\'' {f,t}
@attribute 'density=\'(-inf-0.99239]\'' {f,t}
@attribute 'density=\'(0.99239-0.99767]\'' {f,t}
@attribute 'density=\'(0.99767-inf)\'' {f,t}
@attribute 'pH=\'(-inf-3.086667]\'' {f,t}
@attribute 'pH=\'(3.086667-3.453333]\'' {f,t}
@attribute 'pH=\'(3.453333-inf)\'' {f,t}
@attribute 'sulphates=\'(-inf-0.47]\'' {f,t}
@attribute 'sulphates=\'(0.47-0.72]\'' {f,t}
@attribute 'sulphates=\'(0.72-inf)\'' {f,t}
@attribute 'alcohol=\'(-inf-10.066667]\'' {f,t}
@attribute 'alcohol=\'(10.066667-12.133333]\'' {f,t}
@attribute 'alcohol=\'(12.133333-inf)\'' {f,t}
@attribute 'quality=\'(-inf-5]\'' {f,t}
@attribute 'quality=\'(5-7]\'' {f,t}
@attribute 'quality=\'(7-inf)\'' {f,t}

@data
f,t,f,t,f,f,f,t,f,f,f,t,f,t,f,f,t,f,f,t,f,f,f,t,t,f,f,t,f,f,t,f,f,f,t,f
f,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,f,t,f,t,f,f,f,t,f
f,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,f,f,t,f,f,f,t,f,f,t,f,t,f,f,f,t,f,f,t,f
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,f,t,f,f,t,f,t,f,f,t,f,f,f,t,f
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,f,t,f,f,t,f,t,f,f,t,f,f,f,t,f
f,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,f,f,t,f,f,f,t,f,f,t,f,t,f,f,f,t,f,f,t,f
f,t,f,f,t,f,t,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f,t,f,f,f,t,f
f,t,f,t,f,f,f,t,f,f,f,t,f,t,f,f,t,f,f,t,f,f,f,t,t,f,f,t,f,f,t,f,f,f,t,f
f,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,f,t,f,t,f,f,f,t,f
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f,f,t,f,f,t,f
f,t,f,t,f,f,f,t,f,t,f,f,t,f,f,t,f,f,t,f,f,t,f,f,t,f,f,f,t,f,f,t,f,t,f,f
f,f,t,t,f,f,f,t,f,t,f,f,t,f,f,t,f,f,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f,t,f,f
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f,t,f,f,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f,f,f,t,f,t,f,f,f,t,f,t,f
f,f,t,f,t,f,f,f,t,f,f,t,f,t,f,f,t,f,f,t,f,f,f,t,t,f,f,f,t,f,t,f,f,t,f,f
f,t,f,t,f,f,f,t,f,t,f,f,t,f,f,t,f,f,t,f,f,t,f,f,f,t,f,f,t,f,f,t,f,f,t,f
f,t,f,f,f,t,t,f,f,t,f,f,f,t,f,t,f,f,t,f,f,f,t,f,f,t,f,t,f,f,t,f,f,f,t,f
f,t,f,f,t,f,f,t,f,t,f,f,t,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,f,t,f
f,t,f,f,t,f,t,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,f,t,f,t,f,f,t,f,f
f,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,f,f,t,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,f,t,f,f,f,t,f,t,f,f,t,f,f,f,t
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f,t,f,f,f,t,f
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,f,t,f,t,f,f,t,f,f,t,f,f,t,f,f,t,f
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f,t,f,f,f,t,f
f,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,f,t,f,f,t,f,f,t,f
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,f,t,f
f,t,f,f,t,f,f,t,f,t,f,f,t,f,f,t,f,f,t,f,f,t,f,f,f,t,f,f,t,f,f,f,t,f,t,f
f,f,t,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,f,t,f,t,f,f,f,t,f
f,f,t,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f,t,f,f,f,t,f,f,f,t,t,f,f,f,t,f,f,t,f
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f,t,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f
f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f,f,t,f
t,f,f,t,f,f,t,f,f,f,t,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,f,f
f,t,f,f,t,f,f,t,f,t,f,f,f,f,t,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f,f,f,t,t,f,f
f,t,f,f,t,f,t,f,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f,t,f,f,t,f,f
f,t,f,f,t,f,f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f,f,t,f,f,t,f
f,t,f,t,f,f,f,t,f,f,f,t,f,t,f,f,t,f,f,t,f,f,f,t,f,t,f,t,f,f,t,f,f,t,f,f
f,t,f,t,f,f,f,t,f,f,f,t,f,t,f,f,t,f,f,t,f,f,f,t,f,t,f,t,f,f,t,f,f,t,f,f
f,t,f,f,t,f,f,t,f,t,f,f,f,f,t,t,f,f,f,t,f,f,t,f,f,t,f,t,f,f,t,f,f,f,t,f
